Sample_ID;Species;Location;Latitude;Longitude;
CC235_sorted;Dioclea_apurensis;S11C;-6.390058;-50.362299;
CC044_sorted;Dioclea_apurensis;N8;-6.164457025006414;-50.161203984171152;
CC061_sorted;Dioclea_apurensis;N8;-6.173611991107464;-50.151718016713858;
CC082_sorted;Dioclea_apurensis;N8;-6.178019028156996;-50.146829020231962;
CC109_sorted;Dioclea_apurensis;N1;-6.047025974839926;-50.284688025712967;
CC125_sorted;Dioclea_apurensis;S11A;-6.328498;-50.450255;
CC141_sorted;Dioclea_apurensis;S11A;-6.350104;-50.449148;
CC157_sorted;Dioclea_apurensis;S11A;-6.345863;-50.430439;
CC173_sorted;Dioclea_apurensis;S11B/C;-6.347670;-50.416220;
CC189_sorted;Dioclea_apurensis;S11B/C;-6.350249;-50.398824;
CC205_sorted;Dioclea_apurensis;S11B/C;-6.371913;-50.385116;
CC221_sorted;Dioclea_apurensis;S11B/C;-6.389871;-50.379616;
CC237_sorted;Dioclea_apurensis;S11C;-6.393831;-50.356332;
CC239_sorted;Dioclea_apurensis;S11C;-6.394329;-50.356606;
CC255_sorted;Dioclea_apurensis;S11C;-6.408068;-50.351464;
CC271_sorted;Dioclea_apurensis;S11C;-6.399343;-50.350484;
CC281_sorted;Dioclea_apurensis;N1;-6.016809;-50.305257;
CC290_sorted;Dioclea_apurensis;Bocaina;-6.332857;-49.967357;
CC306_sorted;Dioclea_apurensis;Bocaina;-6.331681;-49.973832;
CC322_sorted;Dioclea_apurensis;Bocaina;-6.331254;-49.949883;
CC338_sorted;Dioclea_apurensis;Bocaina;-6.308568;-49.890633;
CC354_sorted;Dioclea_apurensis;Bocaina;-6.315106;-49.909601;
CC241_sorted;Dioclea_apurensis;S11C;-6.410354;-50.358011;
CC257_sorted;Dioclea_apurensis;S11C;-6.408045;-50.350482;
CC273_sorted;Dioclea_apurensis;S11C;-6.398876;-50.350293;
CC282_sorted;Dioclea_apurensis;N1;-6.016266;-50.306741;
CC291_sorted;Dioclea_apurensis;Bocaina;-6.332335;-49.967749;
CC308_sorted;Dioclea_apurensis;Bocaina;-6.333813;-49.965638;
CC324_sorted;Dioclea_apurensis;Bocaina;-6.311332;-49.874650;
CC340_sorted;Dioclea_apurensis;Bocaina;-6.306279;-49.891841;
CC356_sorted;Dioclea_apurensis;Bocaina;-6.315435;-49.910369;
CC243_sorted;Dioclea_apurensis;S11C;-6.409923;-50.357288;
CC259_sorted;Dioclea_apurensis;S11C;-6.403065;-50.348819;
CC275_sorted;Dioclea_apurensis;S11C;-6.397896;-50.350471;
CC283_sorted;Dioclea_apurensis;N1;-6.016493;-50.307050;
